timestamp,vehicleType,brand,colorLabel,colorHex,model,licensePlate,Event
2026-05-20T08:01:00.000Z,รถจักรยานยนต์,Nissan,ขาว,#FFFFFF,Click 160,1ฐต นนทบุรี 172,No
2026-05-20T08:03:00.000Z,รถกระบะ,Mazda,ขาว,#FFFFFF,D-Max,2ฅก 8710 นนทบุรี,No
2026-05-20T08:05:00.000Z,รถเก๋ง,Nissan,ขาว,#FFFFFF,Camry,4ฝล 5974 นนทบุรี,No
2026-05-20T08:06:00.000Z,รถกระบะ,Isuzu,แดง,#FF0000,Ranger,9หธ 3603 ชลบุรี,No
2026-05-20T08:09:00.000Z,รถกระบะ,Mazda,เงิน,#C0C0C0,Hilux Revo,9ฒฉ 2393 กรุงเทพมหานคร,No
2026-05-20T08:11:00.000Z,รถเก๋ง,Mazda,ขาว,#FFFFFF,Accord,ฮข 7254 สมุทรปราการ,No
2026-05-20T08:13:00.000Z,รถกระบะ,Mitsubishi,เงิน,#C0C0C0,D-Max,ฏษ 8442 สมุทรปราการ,No
2026-05-20T08:14:00.000Z,รถเก๋ง,Nissan,เทา,#808080,City,ฉฅ 6739 เชียงใหม่,No
2026-05-20T08:17:00.000Z,รถจักรยานยนต์,Toyota,ดำ,#000000,Click 160,2ษฉ เชียงใหม่ 7346,No
2026-05-20T08:18:00.000Z,รถกระบะ,Nissan,เงิน,#C0C0C0,D-Max,ฉก 4494 เชียงใหม่,No
2026-05-20T08:21:00.000Z,รถเก๋ง,Isuzu,ขาว,#FFFFFF,HR-V,มฅ 7574 สมุทรปราการ,No
2026-05-20T08:23:00.000Z,รถเก๋ง,Toyota,ขาว,#FFFFFF,Camry,3ฮผ 1173 นนทบุรี,No
2026-05-20T08:25:00.000Z,รถเก๋ง,Honda,ดำ,#000000,Civic,ฅซ 8253 นนทบุรี,No
2026-05-20T08:26:00.000Z,รถเก๋ง,Isuzu,น้ำเงิน,#0000FF,Civic,3ณส 9092 กรุงเทพมหานคร,No
2026-05-20T08:29:00.000Z,รถเก๋ง,Nissan,ขาว,#FFFFFF,City,กร 8172 ปทุมธานี,No
2026-05-20T08:31:00.000Z,รถเก๋ง,Mitsubishi,เงิน,#C0C0C0,Kicks,5นย 2372 กรุงเทพมหานคร,No
2026-05-20T08:32:00.000Z,รถเก๋ง,Mazda,ขาว,#FFFFFF,Yaris,9ทฎ 9863 เชียงใหม่,No
2026-05-20T08:35:00.000Z,รถจักรยานยนต์,Mazda,ดำ,#000000,Wave 110i,5ทห เชียงใหม่ 6509,No
2026-05-20T08:37:00.000Z,รถเก๋ง,Nissan,ขาว,#FFFFFF,Corolla Cross,ขฒ 2915 กรุงเทพมหานคร,No
2026-05-20T08:38:00.000Z,รถเก๋ง,Honda,ดำ,#000000,Camry,5ถช 5492 ระยอง,No
2026-05-20T08:41:00.000Z,รถจักรยานยนต์,Honda,ขาว,#FFFFFF,NMAX,2ฬฟ สมุทรปราการ 5674,No
2026-05-20T08:43:00.000Z,รถเก๋ง,Nissan,ขาว,#FFFFFF,Camry,ฝบ 9885 สมุทรปราการ,No
2026-05-20T08:45:00.000Z,รถกระบะ,Toyota,เทา,#808080,D-Max,2ภฐ 9780 ระยอง,No
2026-05-20T08:46:00.000Z,รถเก๋ง,Honda,ขาว,#FFFFFF,Civic,4มม 6384 เชียงใหม่,No
2026-05-20T08:49:00.000Z,รถเก๋ง,Toyota,เงิน,#C0C0C0,Kicks,อถ 6129 เชียงใหม่,No
2026-05-20T08:51:00.000Z,รถเก๋ง,Mazda,เทา,#808080,Accord,ษจ 4012 ชลบุรี,No
2026-05-20T08:53:00.000Z,รถกระบะ,Nissan,น้ำเงิน,#0000FF,Ranger,2ดน 4999 สมุทรปราการ,No
2026-05-20T08:55:00.000Z,รถเก๋ง,Mazda,น้ำเงิน,#0000FF,Accord,7จว 288 สมุทรปราการ,No
2026-05-20T08:56:00.000Z,รถเก๋ง,Mitsubishi,เงิน,#C0C0C0,HR-V,6ภศ 2509 สมุทรปราการ,No
2026-05-20T08:58:00.000Z,รถตู้,Mitsubishi,ขาว,#FFFFFF,Majesty,9ผข 9648 ระยอง,No
2026-05-20T09:01:00.000Z,รถกระบะ,Isuzu,ดำ,#000000,Hilux Revo,2ตว 3190 ระยอง,No
