timestamp,vehicleType,brand,colorLabel,colorHex
2026-05-19T23:08:53.879Z,รถยนต์นั่งบุคคล,Nissan,แดง,#DC143C
2026-05-19T23:09:53.879Z,รถยนต์นั่งบุคคล,Mazda,เขียวขี้ม้า,#6B8E23
2026-05-19T23:10:53.879Z,รถยนต์นั่งบุคคล,Nissan,น้ำเงิน,#000080
2026-05-19T23:11:53.879Z,รถตู้,Isuzu,เทาฟ้า,#708090
2026-05-19T23:12:53.879Z,รถจักรยานยนต์,Mazda,บรอนซ์,#8C7853
2026-05-19T23:13:53.879Z,รถตู้,Mazda,เหลือง,#FFE600
2026-05-19T23:14:53.879Z,รถตู้,Mitsubishi,เขียวอ่อน,#90EE90
2026-05-19T23:15:53.879Z,รถบรรทุก,Nissan,เขียวอ่อน,#90EE90
2026-05-19T23:16:53.879Z,รถตู้,Toyota,บรอนซ์,#8C7853
2026-05-19T23:17:53.879Z,รถตู้,Nissan,แดงเลือดหมู,#800000
2026-05-19T23:18:53.879Z,รถจักรยานยนต์,Isuzu,บรอนซ์ทอง,#AF8E3F
2026-05-19T23:19:53.879Z,รถบรรทุก,Toyota,แดงเลือดหมู,#800000
2026-05-19T23:20:53.879Z,รถจักรยานยนต์,Honda,ชมพู,#FFB6C1
2026-05-19T23:21:53.879Z,รถบรรทุก,Isuzu,เทา,#808080
2026-05-19T23:22:53.879Z,รถบรรทุก,Nissan,ชมพู,#FFB6C1
2026-05-19T23:23:53.879Z,รถยนต์นั่งบุคคล,Mitsubishi,เขียว,#008000
2026-05-19T23:24:53.879Z,รถบรรทุก,Mazda,เขียว,#008000
2026-05-19T23:25:53.879Z,รถยนต์ปิคอัพ,Mazda,ฟ้า-ขาว,#87CEEB
2026-05-19T23:26:53.879Z,รถจักรยานยนต์,Nissan,ขาว,#FFFFFF
2026-05-19T23:27:53.879Z,รถยนต์นั่งบุคคล,Honda,เขียวเข้ม,#006400
2026-05-19T23:28:53.879Z,รถยนต์ปิคอัพ,Honda,ดำ,#000000
2026-05-19T23:29:53.879Z,รถจักรยานยนต์,Nissan,บรอนซ์เทา,#82786C
2026-05-19T23:30:53.879Z,รถตู้,Toyota,แดง-ขาว,#DC143C
2026-05-19T23:31:53.879Z,รถจักรยานยนต์,Honda,แดง-ขาว,#DC143C
2026-05-19T23:32:53.879Z,รถยนต์นั่งบุคคล,Toyota,บรอนซ์ทอง,#AF8E3F
2026-05-19T23:33:53.879Z,รถตู้,Mazda,เทา,#808080
2026-05-19T23:34:53.879Z,รถยนต์นั่งบุคคล,Nissan,ฟ้า-ขาว,#87CEEB
2026-05-19T23:35:53.879Z,รถยนต์ปิคอัพ,Mazda,เขียวเมทัลลิค,#4A7C6F
2026-05-19T23:36:53.879Z,รถยนต์นั่งบุคคล,Mitsubishi,ฟ้า,#87CEEB
2026-05-19T23:37:53.879Z,รถยนต์นั่งบุคคล,Mitsubishi,ขาว,#FFFFFF
2026-05-19T23:38:53.879Z,รถจักรยานยนต์,Isuzu,ชมพู,#FFB6C1
2026-05-19T23:39:53.879Z,รถตู้,Mitsubishi,เทา,#808080
2026-05-19T23:40:53.879Z,รถตู้,Nissan,น้ำเงิน,#000080
2026-05-19T23:41:53.879Z,รถตู้,Honda,เขียวขี้ม้า,#6B8E23
2026-05-19T23:42:53.879Z,รถบรรทุก,Mitsubishi,เขียวขี้ม้า,#6B8E23
2026-05-19T23:43:53.879Z,รถยนต์นั่งบุคคล,Mitsubishi,ดำ,#000000
2026-05-19T23:44:53.879Z,รถยนต์นั่งบุคคล,Honda,เขียวเข้ม,#006400
2026-05-19T23:45:53.879Z,รถตู้,Mazda,ทอง,#D4AF37
2026-05-19T23:46:53.879Z,รถยนต์นั่งบุคคล,Mazda,บรอนซ์,#8C7853
2026-05-19T23:47:53.879Z,รถยนต์นั่งบุคคล,Isuzu,ส้ม,#FF8C00
2026-05-19T23:48:53.879Z,รถบรรทุก,Isuzu,บรอนซ์ทอง,#AF8E3F
2026-05-19T23:49:53.879Z,รถจักรยานยนต์,Nissan,ชมพู,#FFB6C1
2026-05-19T23:50:53.879Z,รถยนต์ปิคอัพ,Nissan,เทาเข้ม,#36454F
2026-05-19T23:51:53.879Z,รถบรรทุก,Mazda,ชมพู,#FFB6C1
2026-05-19T23:52:53.879Z,รถยนต์นั่งบุคคล,Isuzu,เหลือง,#FFE600
2026-05-19T23:53:53.879Z,รถบรรทุก,Isuzu,เหลือง-เขียว,#FFE600
2026-05-19T23:54:53.879Z,รถยนต์ปิคอัพ,Toyota,บรอนซ์เทา,#82786C
2026-05-19T23:55:53.879Z,รถยนต์นั่งบุคคล,Toyota,ขาว,#FFFFFF
2026-05-19T23:56:53.879Z,รถบรรทุก,Nissan,เขียว,#008000
2026-05-19T23:57:53.879Z,รถยนต์ปิคอัพ,Honda,แดง,#DC143C
2026-05-19T23:58:53.879Z,รถบรรทุก,Toyota,เทา,#808080
2026-05-19T23:59:53.879Z,รถยนต์ปิคอัพ,Mitsubishi,บรอนซ์ทอง,#AF8E3F
2026-05-20T00:00:53.879Z,รถบรรทุก,Honda,เทา,#808080
2026-05-20T00:01:53.879Z,รถบรรทุก,Mazda,เทา,#808080
2026-05-20T00:02:53.879Z,รถยนต์ปิคอัพ,Mitsubishi,ขาว,#FFFFFF
2026-05-20T00:03:53.879Z,รถยนต์ปิคอัพ,Nissan,แดง-ขาว,#DC143C
2026-05-20T00:04:53.879Z,รถยนต์นั่งบุคคล,Nissan,น้ำเงิน,#000080
2026-05-20T00:05:53.879Z,รถจักรยานยนต์,Toyota,เหลือง,#FFE600
2026-05-20T00:06:53.879Z,รถบรรทุก,Honda,ทอง,#D4AF37
2026-05-20T00:07:53.879Z,รถจักรยานยนต์,Toyota,ชมพู,#FFB6C1
2026-05-20T00:08:53.879Z,รถยนต์นั่งบุคคล,Nissan,ชมพู,#FFB6C1
2026-05-20T00:09:53.879Z,รถบรรทุก,Isuzu,ชมพู,#FFB6C1
2026-05-20T00:10:53.879Z,รถบรรทุก,Mitsubishi,ฟ้า-ขาว,#87CEEB
2026-05-20T00:11:53.879Z,รถจักรยานยนต์,Mazda,ทอง,#D4AF37
2026-05-20T00:12:53.879Z,รถยนต์ปิคอัพ,Mazda,บรอนซ์เทา,#82786C
2026-05-20T00:13:53.879Z,รถบรรทุก,Mitsubishi,บรอนซ์เงิน,#A9A39A
2026-05-20T00:14:53.879Z,รถยนต์นั่งบุคคล,Mitsubishi,เทา,#808080
2026-05-20T00:15:53.879Z,รถจักรยานยนต์,Nissan,เขียวเมทัลลิค,#4A7C6F
2026-05-20T00:16:53.879Z,รถยนต์นั่งบุคคล,Mitsubishi,เขียวอ่อน,#90EE90
2026-05-20T00:17:53.879Z,รถบรรทุก,Mazda,บรอนซ์เทา,#82786C
2026-05-20T00:18:53.879Z,รถตู้,Isuzu,ส้ม,#FF8C00
2026-05-20T00:19:53.879Z,รถบรรทุก,Nissan,เหลืองเขียว,#B4D732
2026-05-20T00:20:53.879Z,รถจักรยานยนต์,Toyota,เหลืองเขียว,#B4D732
2026-05-20T00:21:53.879Z,รถตู้,Nissan,บรอนซ์,#8C7853
2026-05-20T00:22:53.879Z,รถตู้,Mitsubishi,เขียวอ่อน,#90EE90
2026-05-20T00:23:53.879Z,รถยนต์นั่งบุคคล,Nissan,ดำ,#000000
2026-05-20T00:24:53.879Z,รถตู้,Nissan,บรอนซ์เทา,#82786C
2026-05-20T00:25:53.879Z,รถบรรทุก,Isuzu,ขาว,#FFFFFF
2026-05-20T00:26:53.879Z,รถยนต์ปิคอัพ,Mazda,เทาเข้ม,#36454F
2026-05-20T00:27:53.879Z,รถยนต์ปิคอัพ,Isuzu,เขียวเมทัลลิค,#4A7C6F
2026-05-20T00:28:53.879Z,รถจักรยานยนต์,Nissan,แดง,#DC143C
2026-05-20T00:29:53.879Z,รถยนต์ปิคอัพ,Isuzu,บรอนซ์เงิน,#A9A39A
2026-05-20T00:30:53.879Z,รถบรรทุก,Toyota,ขาว,#FFFFFF
2026-05-20T00:31:53.879Z,รถตู้,Nissan,บรอนซ์ทอง,#AF8E3F
2026-05-20T00:32:53.879Z,รถบรรทุก,Mazda,ดำ,#000000
2026-05-20T00:33:53.879Z,รถยนต์ปิคอัพ,Mitsubishi,เหลือง,#FFE600
2026-05-20T00:34:53.879Z,รถตู้,Nissan,เทาฟ้า,#708090
2026-05-20T00:35:53.879Z,รถตู้,Honda,เทาเข้ม,#36454F
2026-05-20T00:36:53.879Z,รถยนต์นั่งบุคคล,Mazda,ฟ้า,#87CEEB
2026-05-20T00:37:53.879Z,รถบรรทุก,Mitsubishi,เทาเข้ม,#36454F
2026-05-20T00:38:53.879Z,รถยนต์ปิคอัพ,Mazda,เขียวเมทัลลิค,#4A7C6F
2026-05-20T00:39:53.879Z,รถยนต์ปิคอัพ,Mitsubishi,เงิน,#C0C0C0
2026-05-20T00:40:53.879Z,รถยนต์ปิคอัพ,Honda,แดง-ขาว,#DC143C
2026-05-20T00:41:53.879Z,รถบรรทุก,Mitsubishi,ดำ,#000000
2026-05-20T00:42:53.879Z,รถยนต์นั่งบุคคล,Mitsubishi,ดำ,#000000
2026-05-20T00:43:53.879Z,รถยนต์นั่งบุคคล,Nissan,เขียวเมทัลลิค,#4A7C6F
2026-05-20T00:44:53.879Z,รถยนต์นั่งบุคคล,Mitsubishi,ขาว,#FFFFFF
2026-05-20T00:45:53.879Z,รถจักรยานยนต์,Isuzu,ฟ้า,#87CEEB
2026-05-20T00:46:53.879Z,รถยนต์ปิคอัพ,Isuzu,เทาฟ้า,#708090
2026-05-20T00:47:53.879Z,รถยนต์ปิคอัพ,Nissan,เขียวอ่อน,#90EE90
2026-05-20T00:48:53.879Z,รถยนต์นั่งบุคคล,Nissan,ขาว,#FFFFFF
2026-05-20T00:49:53.879Z,รถยนต์ปิคอัพ,Toyota,เหลืองเขียว,#B4D732
2026-05-20T00:50:53.879Z,รถยนต์นั่งบุคคล,Nissan,บรอนซ์,#8C7853
2026-05-20T00:51:53.879Z,รถบรรทุก,Mazda,ทอง,#D4AF37
2026-05-20T00:52:53.879Z,รถบรรทุก,Nissan,เทาฟ้า,#708090
2026-05-20T00:53:53.879Z,รถบรรทุก,Mitsubishi,ชมพู,#FFB6C1
2026-05-20T00:54:53.879Z,รถยนต์นั่งบุคคล,Honda,เขียวอ่อน,#90EE90
2026-05-20T00:55:53.879Z,รถยนต์นั่งบุคคล,Mazda,เขียวขี้ม้า,#6B8E23
2026-05-20T00:56:53.879Z,รถจักรยานยนต์,Honda,ฟ้า-ขาว,#87CEEB
2026-05-20T00:57:53.879Z,รถบรรทุก,Mitsubishi,แดง-ขาว,#DC143C
2026-05-20T00:58:53.879Z,รถตู้,Honda,เขียวเข้ม,#006400
2026-05-20T00:59:53.879Z,รถยนต์นั่งบุคคล,Toyota,เทา,#808080
2026-05-20T01:00:53.879Z,รถตู้,Mazda,เงิน,#C0C0C0
2026-05-20T01:01:53.879Z,รถจักรยานยนต์,Nissan,ฟ้า-ขาว,#87CEEB
2026-05-20T01:02:53.879Z,รถยนต์นั่งบุคคล,Honda,ดำ,#000000
2026-05-20T01:03:53.879Z,รถบรรทุก,Isuzu,บรอนซ์,#8C7853
2026-05-20T01:04:53.879Z,รถยนต์ปิคอัพ,Toyota,เขียวเข้ม,#006400
2026-05-20T01:05:53.879Z,รถจักรยานยนต์,Nissan,เหลืองเขียว,#B4D732
2026-05-20T01:06:53.879Z,รถจักรยานยนต์,Isuzu,เทาฟ้า,#708090
2026-05-20T01:07:53.879Z,รถจักรยานยนต์,Mitsubishi,เหลือง-เขียว,#FFE600
2026-05-20T01:08:53.879Z,รถบรรทุก,Toyota,เขียวเข้ม,#006400
2026-05-20T01:09:53.879Z,รถยนต์ปิคอัพ,Toyota,เหลืองเขียว,#B4D732
2026-05-20T01:10:53.879Z,รถบรรทุก,Mitsubishi,เขียวขี้ม้า,#6B8E23
2026-05-20T01:11:53.879Z,รถจักรยานยนต์,Mazda,เขียว,#008000
2026-05-20T01:12:53.879Z,รถบรรทุก,Mitsubishi,เทาเข้ม,#36454F
2026-05-20T01:13:53.879Z,รถจักรยานยนต์,Isuzu,เขียว,#008000
2026-05-20T01:14:53.879Z,รถจักรยานยนต์,Nissan,แดงเลือดหมู,#800000
2026-05-20T01:15:53.879Z,รถจักรยานยนต์,Mitsubishi,ขาว,#FFFFFF
2026-05-20T01:16:53.879Z,รถจักรยานยนต์,Mitsubishi,ดำ,#000000
2026-05-20T01:17:53.879Z,รถยนต์นั่งบุคคล,Isuzu,น้ำเงิน,#000080
2026-05-20T01:18:53.879Z,รถบรรทุก,Toyota,เขียว,#008000
2026-05-20T01:19:53.879Z,รถยนต์นั่งบุคคล,Mazda,เขียวเข้ม,#006400
2026-05-20T01:20:53.879Z,รถยนต์ปิคอัพ,Toyota,เทา,#808080
2026-05-20T01:21:53.879Z,รถบรรทุก,Nissan,เทา,#808080
2026-05-20T01:22:53.879Z,รถตู้,Toyota,น้ำเงิน,#000080
2026-05-20T01:23:53.879Z,รถจักรยานยนต์,Nissan,แดง,#DC143C
2026-05-20T01:24:53.879Z,รถตู้,Mazda,เขียวอ่อน,#90EE90
2026-05-20T01:25:53.879Z,รถบรรทุก,Isuzu,เขียวเมทัลลิค,#4A7C6F
2026-05-20T01:26:53.879Z,รถยนต์นั่งบุคคล,Mazda,บรอนซ์เงิน,#A9A39A
2026-05-20T01:27:53.879Z,รถจักรยานยนต์,Toyota,เขียวเข้ม,#006400
2026-05-20T01:28:53.879Z,รถบรรทุก,Nissan,บรอนซ์เงิน,#A9A39A
2026-05-20T01:29:53.879Z,รถยนต์ปิคอัพ,Isuzu,ทอง,#D4AF37
2026-05-20T01:30:53.879Z,รถยนต์นั่งบุคคล,Honda,เทา,#808080
2026-05-20T01:31:53.879Z,รถยนต์ปิคอัพ,Mitsubishi,ชมพู,#FFB6C1
2026-05-20T01:32:53.879Z,รถตู้,Mazda,ส้ม,#FF8C00
2026-05-20T01:33:53.879Z,รถตู้,Isuzu,ชมพู,#FFB6C1
2026-05-20T01:34:53.879Z,รถตู้,Mazda,บรอนซ์เงิน,#A9A39A
2026-05-20T01:35:53.879Z,รถบรรทุก,Nissan,แดง,#DC143C
2026-05-20T01:36:53.879Z,รถยนต์นั่งบุคคล,Toyota,เหลือง,#FFE600
2026-05-20T01:37:53.879Z,รถตู้,Mazda,ฟ้า,#87CEEB
2026-05-20T01:38:53.879Z,รถบรรทุก,Honda,เขียวขี้ม้า,#6B8E23
2026-05-20T01:39:53.879Z,รถบรรทุก,Mazda,ชมพู,#FFB6C1
2026-05-20T01:40:53.879Z,รถจักรยานยนต์,Mazda,ชมพู,#FFB6C1
2026-05-20T01:41:53.879Z,รถบรรทุก,Honda,แดงเลือดหมู,#800000
2026-05-20T01:42:53.879Z,รถยนต์ปิคอัพ,Honda,บรอนซ์เทา,#82786C
2026-05-20T01:43:53.879Z,รถจักรยานยนต์,Mazda,เขียวเข้ม,#006400
2026-05-20T01:44:53.879Z,รถจักรยานยนต์,Honda,น้ำเงิน,#000080
2026-05-20T01:45:53.879Z,รถยนต์นั่งบุคคล,Nissan,เขียวอ่อน,#90EE90
2026-05-20T01:46:53.879Z,รถยนต์ปิคอัพ,Mitsubishi,บรอนซ์ทอง,#AF8E3F
2026-05-20T01:47:53.879Z,รถยนต์ปิคอัพ,Toyota,เทาเข้ม,#36454F
2026-05-20T01:48:53.879Z,รถยนต์ปิคอัพ,Isuzu,เทาฟ้า,#708090
2026-05-20T01:49:53.879Z,รถยนต์นั่งบุคคล,Isuzu,เงิน,#C0C0C0
2026-05-20T01:50:53.879Z,รถบรรทุก,Toyota,แดง-ขาว,#DC143C
2026-05-20T01:51:53.879Z,รถบรรทุก,Mitsubishi,เขียวเมทัลลิค,#4A7C6F
2026-05-20T01:52:53.879Z,รถบรรทุก,Nissan,ดำ,#000000
2026-05-20T01:53:53.879Z,รถยนต์ปิคอัพ,Isuzu,เทาฟ้า,#708090
2026-05-20T01:54:53.879Z,รถยนต์ปิคอัพ,Isuzu,แดงเลือดหมู,#800000
2026-05-20T01:55:53.879Z,รถบรรทุก,Isuzu,แดง,#DC143C
2026-05-20T01:56:53.879Z,รถบรรทุก,Nissan,เขียว,#008000
2026-05-20T01:57:53.879Z,รถตู้,Mazda,เทาเข้ม,#36454F
2026-05-20T01:58:53.879Z,รถจักรยานยนต์,Isuzu,ชมพู,#FFB6C1
2026-05-20T01:59:53.879Z,รถยนต์ปิคอัพ,Nissan,น้ำเงิน,#000080
2026-05-20T02:00:53.879Z,รถยนต์นั่งบุคคล,Honda,น้ำเงิน,#000080
2026-05-20T02:01:53.879Z,รถยนต์ปิคอัพ,Nissan,เหลือง,#FFE600
2026-05-20T02:02:53.879Z,รถตู้,Mazda,บรอนซ์,#8C7853
2026-05-20T02:03:53.879Z,รถยนต์นั่งบุคคล,Isuzu,เขียวอ่อน,#90EE90
2026-05-20T02:04:53.879Z,รถยนต์นั่งบุคคล,Honda,เขียวเข้ม,#006400
2026-05-20T02:05:53.879Z,รถตู้,Mazda,เขียวเมทัลลิค,#4A7C6F
2026-05-20T02:06:53.879Z,รถยนต์ปิคอัพ,Honda,ฟ้า,#87CEEB
2026-05-20T02:07:53.879Z,รถจักรยานยนต์,Isuzu,ส้ม,#FF8C00
2026-05-20T02:08:53.879Z,รถยนต์ปิคอัพ,Isuzu,ฟ้า,#87CEEB
2026-05-20T02:09:53.879Z,รถตู้,Mitsubishi,เหลือง-เขียว,#FFE600
2026-05-20T02:10:53.879Z,รถจักรยานยนต์,Nissan,แดง,#DC143C
2026-05-20T02:11:53.879Z,รถบรรทุก,Isuzu,เทาเข้ม,#36454F
2026-05-20T02:12:53.879Z,รถยนต์ปิคอัพ,Nissan,เขียวเมทัลลิค,#4A7C6F
2026-05-20T02:13:53.879Z,รถจักรยานยนต์,Mazda,แดง-ขาว,#DC143C
2026-05-20T02:14:53.879Z,รถยนต์นั่งบุคคล,Nissan,ขาว,#FFFFFF
2026-05-20T02:15:53.879Z,รถยนต์นั่งบุคคล,Toyota,เขียวเข้ม,#006400
2026-05-20T02:16:53.879Z,รถยนต์นั่งบุคคล,Honda,เขียว,#008000
2026-05-20T02:17:53.879Z,รถยนต์นั่งบุคคล,Toyota,แดง,#DC143C
2026-05-20T02:18:53.879Z,รถยนต์ปิคอัพ,Toyota,ส้ม,#FF8C00
2026-05-20T02:19:53.879Z,รถจักรยานยนต์,Honda,เหลือง,#FFE600
2026-05-20T02:20:53.879Z,รถยนต์นั่งบุคคล,Toyota,เทาฟ้า,#708090
2026-05-20T02:21:53.879Z,รถบรรทุก,Mitsubishi,บรอนซ์เทา,#82786C
2026-05-20T02:22:53.879Z,รถตู้,Isuzu,เขียวเมทัลลิค,#4A7C6F
2026-05-20T02:23:53.879Z,รถตู้,Mitsubishi,เหลืองเขียว,#B4D732
2026-05-20T02:24:53.879Z,รถตู้,Nissan,ดำ,#000000
2026-05-20T02:25:53.879Z,รถยนต์นั่งบุคคล,Toyota,บรอนซ์ทอง,#AF8E3F
2026-05-20T02:26:53.879Z,รถจักรยานยนต์,Honda,เขียวอ่อน,#90EE90
2026-05-20T02:27:53.879Z,รถจักรยานยนต์,Mitsubishi,เขียวขี้ม้า,#6B8E23
2026-05-20T02:28:53.879Z,รถยนต์นั่งบุคคล,Honda,เขียวอ่อน,#90EE90
2026-05-20T02:29:53.879Z,รถจักรยานยนต์,Honda,บรอนซ์,#8C7853
2026-05-20T02:30:53.879Z,รถยนต์นั่งบุคคล,Toyota,ฟ้า,#87CEEB
2026-05-20T02:31:53.879Z,รถยนต์นั่งบุคคล,Honda,แดง-ขาว,#DC143C
2026-05-20T02:32:53.879Z,รถยนต์ปิคอัพ,Mazda,ฟ้า-ขาว,#87CEEB
2026-05-20T02:33:53.879Z,รถตู้,Isuzu,เหลืองเขียว,#B4D732
2026-05-20T02:34:53.879Z,รถยนต์ปิคอัพ,Toyota,เทา,#808080
2026-05-20T02:35:53.879Z,รถยนต์นั่งบุคคล,Honda,เหลืองเขียว,#B4D732
2026-05-20T02:36:53.879Z,รถจักรยานยนต์,Toyota,ชมพู,#FFB6C1
2026-05-20T02:37:53.879Z,รถบรรทุก,Mazda,เหลือง-เขียว,#FFE600
2026-05-20T02:38:53.879Z,รถตู้,Isuzu,ขาว,#FFFFFF
2026-05-20T02:39:53.879Z,รถยนต์นั่งบุคคล,Mazda,เขียวอ่อน,#90EE90
2026-05-20T02:40:53.879Z,รถบรรทุก,Honda,ฟ้า-ขาว,#87CEEB
2026-05-20T02:41:53.879Z,รถยนต์ปิคอัพ,Isuzu,ฟ้า,#87CEEB
2026-05-20T02:42:53.879Z,รถยนต์ปิคอัพ,Honda,ชมพู,#FFB6C1
2026-05-20T02:43:53.879Z,รถตู้,Nissan,เหลือง-เขียว,#FFE600
2026-05-20T02:44:53.879Z,รถยนต์นั่งบุคคล,Mitsubishi,แดงเลือดหมู,#800000
2026-05-20T02:45:53.879Z,รถจักรยานยนต์,Mazda,เงิน,#C0C0C0
2026-05-20T02:46:53.879Z,รถจักรยานยนต์,Mitsubishi,เขียว,#008000
2026-05-20T02:47:53.879Z,รถยนต์ปิคอัพ,Isuzu,แดง,#DC143C
2026-05-20T02:48:53.879Z,รถตู้,Honda,เขียวเข้ม,#006400
2026-05-20T02:49:53.879Z,รถตู้,Mazda,เทา,#808080
2026-05-20T02:50:53.879Z,รถตู้,Nissan,บรอนซ์เทา,#82786C
2026-05-20T02:51:53.879Z,รถบรรทุก,Mazda,ส้ม,#FF8C00
2026-05-20T02:52:53.879Z,รถยนต์นั่งบุคคล,Isuzu,แดง,#DC143C
2026-05-20T02:53:53.879Z,รถยนต์ปิคอัพ,Toyota,ฟ้า-ขาว,#87CEEB
2026-05-20T02:54:53.879Z,รถบรรทุก,Isuzu,แดง,#DC143C
2026-05-20T02:55:53.879Z,รถยนต์นั่งบุคคล,Nissan,เขียวเมทัลลิค,#4A7C6F
2026-05-20T02:56:53.879Z,รถยนต์นั่งบุคคล,Mazda,ชมพู,#FFB6C1
2026-05-20T02:57:53.879Z,รถยนต์ปิคอัพ,Isuzu,น้ำเงิน,#000080
2026-05-20T02:58:53.879Z,รถบรรทุก,Mazda,แดง,#DC143C
2026-05-20T02:59:53.879Z,รถบรรทุก,Honda,ทอง,#D4AF37
2026-05-20T03:00:53.879Z,รถจักรยานยนต์,Honda,ฟ้า,#87CEEB
